timestamp,engine_id,chamber_pressure,fuel_flow,temperature
2025-06-30T15:39:10.347226,ENG-003,219.74,148.81,2411.51
2025-06-30T15:39:12.341496,ENG-002,298.94,84.19,3091.31
2025-06-30T15:39:18.104802,ENG-004,203.12,124.82,3499.35
2025-06-30T15:39:25.149113,ENG-001,177.58,98.84,2873.23
2025-06-30T15:39:28.948164,ENG-005,284.32,0.1,2956.85
2025-06-30T15:39:17.638118,ENG-005,221.55,149.05,2372.7
2025-06-30T15:39:20.544791,ENG-002,249.44,80.08,2962.57
2025-06-30T15:39:19.666063,ENG-002,228.09,144.2,2235.13
2025-06-30T15:39:26.915204,ENG-003,277.81,95.6,2786.44
2025-06-30T15:39:28.738713,ENG-002,266.32,99.96,2077.2
2025-06-30T15:39:25.721547,ENG-002,246.55,86.56,2423.04
2025-06-30T15:40:03.886788,ENG-003,232.24,121.34,3125.87
2025-06-30T15:39:53.273445,ENG-001,286.07,,
2025-06-30T15:39:18.104802,ENG-004,203.12,124.82,3499.35
2025-06-30T15:40:05.135385,ENG-003,252.74,132.49,3297.16
2025-06-30T15:40:08.994678,ENG-003,251.13,141.36,2276.51
2025-06-30T15:39:32.492733,ENG-001,289.41,81.12,3354.51
2025-06-30T15:39:29.151354,ENG-003,257.27,108.67,2879.18
2025-06-30T15:39:53.448875,ENG-001,224.94,77.6,3390.35
2025-06-30T15:39:54.861935,ENG-005,156.2,56.25,3060.46
2025-06-30T15:39:33.750935,ENG-004,214.49,112.63,3177.81
2025-06-30T15:40:53.626711,ENG-005,178.56,129.52,2789.06
2025-06-30T15:40:16.102882,ENG-004,181.19,112.7,3399.14
2025-06-30T15:40:37.139530,ENG-005,208.9,109.09,3475.76
2025-06-30T15:40:33.979739,ENG-003,295.39,105.81,3324.95
2025-06-30T15:40:44.001497,ENG-002,277.43,102.01,2130.19
2025-06-30T15:40:59.784284,ENG-005,,,3445.43
2025-06-30T15:39:54.732099,ENG-001,267.82,100.66,2450.41
